year,n_top,n_rest,js_divergence,jaccard_top50_prevyear,parse_failures
1970,20,95,0.585935345234003,,0
1971,20,113,0.5486816147159485,0.25,0
1972,20,121,0.5671558828303911,0.20833333333333334,0
1973,20,105,0.5660493329823564,0.12,0
1974,20,106,0.5550789835695065,0.2,0
1975,20,91,0.6003724164136408,0.15,0
1976,20,109,0.5805030329716128,0.35714285714285715,0
1977,20,110,0.5936315373346459,0.35294117647058826,0
1978,20,105,0.5737876846923602,0.13636363636363635,0
1979,20,104,0.5648591311060494,0.2608695652173913,0
1980,20,137,0.5677552434450358,0.2413793103448276,0
1981,20,144,0.5758933358810194,0.3142857142857143,0
1982,20,136,0.5519227169354776,0.2647058823529412,0
1983,20,131,0.5924858036492995,0.3181818181818182,0
1984,20,135,0.5502472889030433,0.2608695652173913,0
1985,20,166,0.5495354339875018,0.1951219512195122,0
1986,20,178,0.5622161750833853,0.25,0
1987,20,203,0.5809605372958233,0.4230769230769231,0
1988,20,214,0.556053865335173,0.3050847457627119,0
1989,20,183,0.5367528177449932,0.3076923076923077,0
1990,20,193,0.5234975708515122,0.41304347826086957,0
1991,20,203,0.5436151693533762,0.33962264150943394,0
1992,20,203,0.5297354117845943,0.34,0
1993,20,230,0.5515355875408864,0.36666666666666664,0
1994,20,229,0.5486942703101643,0.3611111111111111,0
1995,20,242,0.5460560936830031,0.26582278481012656,0
1996,20,263,0.5441614087828095,0.28205128205128205,0
1997,20,260,0.5236343911845494,0.3333333333333333,0
1998,20,291,0.5424877428969298,0.25,0
1999,20,306,0.5432805503601486,0.26582278481012656,0
2000,20,319,0.5641135111029504,0.16279069767441862,0
2001,20,346,0.5325580686353092,0.14942528735632185,0
2002,20,359,0.5422990857382721,0.21951219512195122,0
2003,20,367,0.534870393363732,0.2345679012345679,0
2004,20,421,0.5466416880777178,0.25,0
2005,20,464,0.5428732903128604,0.14942528735632185,0
2006,20,549,0.5302957162919344,0.21951219512195122,0
2007,20,567,0.5333876204308433,0.17647058823529413,0
2008,20,604,0.5468857193076782,0.12359550561797752,0
2009,20,649,0.5452101454359118,0.20481927710843373,0
2010,20,637,0.5458383998279155,0.19047619047619047,0
2011,20,687,0.5628887393626341,0.26582278481012656,0
2012,20,669,0.5608769135952383,0.16279069767441862,0
2013,20,788,0.535268587460359,0.20481927710843373,0
2014,20,888,0.5406331690291161,0.17647058823529413,0
2015,20,909,0.5426513323380638,0.2345679012345679,0
2016,20,929,0.570429664107918,0.16279069767441862,0
2017,20,981,0.5298265638657028,0.16279069767441862,0
2018,20,951,0.5430777326200926,0.17647058823529413,0
2019,20,864,0.5511326726976935,0.19047619047619047,0
2020,20,637,0.5445563590936194,0.17647058823529413,0
2021,20,678,0.5599500178253496,0.19047619047619047,0
2022,20,599,0.5690400883612738,0.14942528735632185,0
2023,20,255,0.5379967934861817,0.21794871794871795,0
2024,0,0,,0.0,0
