tier,genre,count,share
21_100,comedy,1388,0.1469716221939856
21_100,drama,1368,0.144853875476493
21_100,action,1019,0.10789919525624735
21_100,thriller,936,0.09911054637865312
21_100,adventure,661,0.06999152901313004
21_100,romance,623,0.06596781024989411
21_100,crime,562,0.05950868276154172
21_100,horror,498,0.05273189326556544
21_100,family,453,0.04796696315120712
21_100,science_fiction,450,0.04764930114358323
21_100,fantasy,435,0.046060991105463786
21_100,mystery,338,0.035789919525624735
21_100,animation,251,0.026577721304531978
21_100,history,167,0.01768318509106311
21_100,music,115,0.01217704362558238
21_100,war,110,0.011647606946209234
21_100,western,42,0.0044472681067344345
21_100,documentary,26,0.0027530707327403643
21_100,tv_movie,2,0.00021177467174925878
top20,action,432,0.13788700925630387
top20,adventure,428,0.13661027768911585
top20,comedy,390,0.12448132780082988
top20,drama,358,0.11426747526332588
top20,thriller,246,0.07851899138206192
top20,science_fiction,204,0.06511330992658794
top20,fantasy,202,0.06447494414299394
top20,family,191,0.06096393233322694
top20,romance,147,0.04691988509415895
top20,crime,144,0.04596233641876796
top20,animation,128,0.04085541015001596
top20,mystery,66,0.02106607085860198
top20,horror,55,0.017555059048834983
top20,war,45,0.014363230130864985
top20,history,39,0.012448132780082987
top20,music,32,0.01021385253750399
top20,western,24,0.007660389403127992
top20,documentary,2,0.0006383657835939994
