year,match_rate,note
1990,0.8947368421052632,
1991,0.8723404255319149,
1992,0.8275862068965517,
1993,0.9310344827586207,
1994,0.9411764705882353,
1995,0.8947368421052632,
1996,0.95,
1997,0.8428571428571429,
1998,0.8148148148148148,
1999,1.0,
2000,0.98,
2001,0.97,
2002,0.97,
2003,0.97,
2004,0.95,
2005,0.98,
2006,0.98,
2007,0.9361702127659575,
2008,0.99,
2009,0.98,
2010,0.97,
2011,0.98,
2012,0.96,
2013,0.98,
2014,0.99,
2015,0.98,
2016,0.96,
2017,0.9591836734693877,
2018,0.9896907216494846,
2019,0.98,
2020,0.9285714285714286,
