year,tot_polkw_top20,tot_polkw_21_100,mask_top20,mask_21_100
1985,34,46,True,True
1986,25,43,True,True
1987,32,66,True,True
1988,14,51,True,True
1989,15,45,True,True
1990,24,44,True,True
1991,20,34,True,True
1992,32,38,True,True
1993,25,31,True,True
1994,31,41,True,True
1995,16,55,True,True
1996,37,80,True,True
1997,32,105,True,True
1998,29,60,True,True
1999,17,58,True,True
2000,17,58,True,True
2001,15,60,True,True
2002,30,84,True,True
2003,24,68,True,True
2004,22,58,True,True
2005,11,75,True,True
2006,11,64,True,True
2007,27,59,True,True
2008,7,77,False,True
2009,14,49,True,True
2010,9,46,False,True
2011,24,55,True,True
2012,15,61,True,True
2013,18,52,True,True
2014,20,64,True,True
2015,8,68,False,True
2016,8,51,False,True
2017,10,47,True,True
2018,8,46,False,True
2019,3,44,False,True
2021,13,28,True,True
2022,9,36,False,True
2023,7,19,False,False
